quiz_id,question_text,marks
74,What is a variable in Python?,2
74,What is the difference between a List and a Tuple?,2
74,What is a function in Python?,2
74,What is list comprehension?,2
74,What is exception handling?,2
75,What is a variable in Python?,2
75,What is the difference between a List and a Tuple?,2
75,What is a function in Python?,2
75,What is list comprehension?,2
75,What is exception handling?,2
76,What is a variable in Python?,2
76,What is the difference between a List and a Tuple?,2
76,What is a function in Python?,2
76,What is list comprehension?,2
76,What is exception handling?,2
77,What is a variable in Python?,2
77,What is the difference between a List and a Tuple?,2
77,What is a function in Python?,2
77,What is list comprehension?,2
77,What is exception handling?,2
78,What is a variable in Python?,2
78,What is the difference between a List and a Tuple?,2
78,What is a function in Python?,2
78,What is list comprehension?,2
78,What is exception handling?,2
79,What is a variable in Python?,2
79,What is the difference between a List and a Tuple?,2
79,What is a function in Python?,2
79,What is list comprehension?,2
79,What is exception handling?,2
80,What is a variable in Python?,2
80,What is the difference between a List and a Tuple?,2
80,What is a function in Python?,2
80,What is list comprehension?,2
80,What is exception handling?,2
81,What is a variable in Python?,2
81,What is the difference between a List and a Tuple?,2
81,What is a function in Python?,2
81,What is list comprehension?,2
81,What is exception handling?,2
82,What is a variable in Python?,2
82,What is the difference between a List and a Tuple?,2
82,What is a function in Python?,2
82,What is list comprehension?,2
82,What is exception handling?,2
83,What is a variable in Python?,2
83,What is the difference between a List and a Tuple?,2
83,What is a function in Python?,2
83,What is list comprehension?,2
83,What is exception handling?,2
84,What is a variable in Python?,2
84,What is the difference between a List and a Tuple?,2
84,What is a function in Python?,2
84,What is list comprehension?,2
84,What is exception handling?,2
85,What is a variable in Python?,2
85,What is the difference between a List and a Tuple?,2
85,What is a function in Python?,2
85,What is list comprehension?,2
85,What is exception handling?,2
86,What is a variable in Python?,2
86,What is the difference between a List and a Tuple?,2
86,What is a function in Python?,2
86,What is list comprehension?,2
86,What is exception handling?,2
87,What is a variable in Python?,2
87,What is the difference between a List and a Tuple?,2
87,What is a function in Python?,2
87,What is list comprehension?,2
87,What is exception handling?,2
88,What is a variable in Python?,2
88,What is the difference between a List and a Tuple?,2
88,What is a function in Python?,2
88,What is list comprehension?,2
88,What is exception handling?,2
89,What is a variable in Python?,2
89,What is the difference between a List and a Tuple?,2
89,What is a function in Python?,2
89,What is list comprehension?,2
89,What is exception handling?,2
90,What is a variable in Python?,2
90,What is the difference between a List and a Tuple?,2
90,What is a function in Python?,2
90,What is list comprehension?,2
90,What is exception handling?,2
91,What is a variable in Python?,2
91,What is the difference between a List and a Tuple?,2
91,What is a function in Python?,2
91,What is list comprehension?,2
91,What is exception handling?,2
92,What is a variable in Python?,2
92,What is the difference between a List and a Tuple?,2
92,What is a function in Python?,2
92,What is list comprehension?,2
92,What is exception handling?,2
93,What is a variable in Python?,2
93,What is the difference between a List and a Tuple?,2
93,What is a function in Python?,2
93,What is list comprehension?,2
93,What is exception handling?,2
94,What is a variable in Python?,2
94,What is the difference between a List and a Tuple?,2
94,What is a function in Python?,2
94,What is list comprehension?,2
94,What is exception handling?,2
95,What is a variable in Python?,2
95,What is the difference between a List and a Tuple?,2
95,What is a function in Python?,2
95,What is list comprehension?,2
95,What is exception handling?,2
96,What is a variable in Python?,2
96,What is the difference between a List and a Tuple?,2
96,What is a function in Python?,2
96,What is list comprehension?,2
96,What is exception handling?,2
97,What is a variable in Python?,2
97,What is the difference between a List and a Tuple?,2
97,What is a function in Python?,2
97,What is list comprehension?,2
97,What is exception handling?,2
98,What is a variable in Python?,2
98,What is the difference between a List and a Tuple?,2
98,What is a function in Python?,2
98,What is list comprehension?,2
98,What is exception handling?,2
99,What is a variable in Python?,2
99,What is the difference between a List and a Tuple?,2
99,What is a function in Python?,2
99,What is list comprehension?,2
99,What is exception handling?,2
100,What is a variable in Python?,2
100,What is the difference between a List and a Tuple?,2
100,What is a function in Python?,2
100,What is list comprehension?,2
100,What is exception handling?,2
101,What is a variable in Python?,2
101,What is the difference between a List and a Tuple?,2
101,What is a function in Python?,2
101,What is list comprehension?,2
101,What is exception handling?,2
102,What is a variable in Python?,2
102,What is the difference between a List and a Tuple?,2
102,What is a function in Python?,2
102,What is list comprehension?,2
102,What is exception handling?,2
103,What is a variable in Python?,2
103,What is the difference between a List and a Tuple?,2
103,What is a function in Python?,2
103,What is list comprehension?,2
103,What is exception handling?,2
104,What is a variable in Python?,2
104,What is the difference between a List and a Tuple?,2
104,What is a function in Python?,2
104,What is list comprehension?,2
104,What is exception handling?,2
105,What is a variable in Python?,2
105,What is the difference between a List and a Tuple?,2
105,What is a function in Python?,2
105,What is list comprehension?,2
105,What is exception handling?,2
106,What is a variable in Python?,2
106,What is the difference between a List and a Tuple?,2
106,What is a function in Python?,2
106,What is list comprehension?,2
106,What is exception handling?,2
107,What is a variable in Python?,2
107,What is the difference between a List and a Tuple?,2
107,What is a function in Python?,2
107,What is list comprehension?,2
107,What is exception handling?,2
108,What is a variable in Python?,2
108,What is the difference between a List and a Tuple?,2
108,What is a function in Python?,2
108,What is list comprehension?,2
108,What is exception handling?,2
109,What is a variable in Python?,2
109,What is the difference between a List and a Tuple?,2
109,What is a function in Python?,2
109,What is list comprehension?,2
109,What is exception handling?,2
110,What is a variable in Python?,2
110,What is the difference between a List and a Tuple?,2
110,What is a function in Python?,2
110,What is list comprehension?,2
110,What is exception handling?,2
111,What is a variable in Python?,2
111,What is the difference between a List and a Tuple?,2
111,What is a function in Python?,2
111,What is list comprehension?,2
111,What is exception handling?,2
112,What is a variable in Python?,2
112,What is the difference between a List and a Tuple?,2
112,What is a function in Python?,2
112,What is list comprehension?,2
112,What is exception handling?,2
113,What is a variable in Python?,2
113,What is the difference between a List and a Tuple?,2
113,What is a function in Python?,2
113,What is list comprehension?,2
113,What is exception handling?,2
114,What is a variable in Python?,2
114,What is the difference between a List and a Tuple?,2
114,What is a function in Python?,2
114,What is list comprehension?,2
114,What is exception handling?,2
115,What is a variable in Python?,2
115,What is the difference between a List and a Tuple?,2
115,What is a function in Python?,2
115,What is list comprehension?,2
115,What is exception handling?,2
116,What is a variable in Python?,2
116,What is the difference between a List and a Tuple?,2
116,What is a function in Python?,2
116,What is list comprehension?,2
116,What is exception handling?,2
117,What is a variable in Python?,2
117,What is the difference between a List and a Tuple?,2
117,What is a function in Python?,2
117,What is list comprehension?,2
117,What is exception handling?,2
118,What is a variable in Python?,2
118,What is the difference between a List and a Tuple?,2
118,What is a function in Python?,2
118,What is list comprehension?,2
118,What is exception handling?,2
119,What is a variable in Python?,2
119,What is the difference between a List and a Tuple?,2
119,What is a function in Python?,2
119,What is list comprehension?,2
119,What is exception handling?,2
120,What is a variable in Python?,2
120,What is the difference between a List and a Tuple?,2
120,What is a function in Python?,2
120,What is list comprehension?,2
120,What is exception handling?,2
121,What is a variable in Python?,2
121,What is the difference between a List and a Tuple?,2
121,What is a function in Python?,2
121,What is list comprehension?,2
121,What is exception handling?,2
122,What is a variable in Python?,2
122,What is the difference between a List and a Tuple?,2
122,What is a function in Python?,2
122,What is list comprehension?,2
122,What is exception handling?,2
123,What is a variable in Python?,2
123,What is the difference between a List and a Tuple?,2
123,What is a function in Python?,2
123,What is list comprehension?,2
123,What is exception handling?,2
124,What is a variable in Python?,2
124,What is the difference between a List and a Tuple?,2
124,What is a function in Python?,2
124,What is list comprehension?,2
124,What is exception handling?,2
125,What is a variable in Python?,2
125,What is the difference between a List and a Tuple?,2
125,What is a function in Python?,2
125,What is list comprehension?,2
125,What is exception handling?,2
126,What is a variable in Python?,2
126,What is the difference between a List and a Tuple?,2
126,What is a function in Python?,2
126,What is list comprehension?,2
126,What is exception handling?,2
127,What is a variable in Python?,2
127,What is the difference between a List and a Tuple?,2
127,What is a function in Python?,2
127,What is list comprehension?,2
127,What is exception handling?,2
128,What is a variable in Python?,2
128,What is the difference between a List and a Tuple?,2
128,What is a function in Python?,2
128,What is list comprehension?,2
128,What is exception handling?,2
129,What is a variable in Python?,2
129,What is the difference between a List and a Tuple?,2
129,What is a function in Python?,2
129,What is list comprehension?,2
129,What is exception handling?,2
130,What is a variable in Python?,2
130,What is the difference between a List and a Tuple?,2
130,What is a function in Python?,2
130,What is list comprehension?,2
130,What is exception handling?,2
131,What is a variable in Python?,2
131,What is the difference between a List and a Tuple?,2
131,What is a function in Python?,2
131,What is list comprehension?,2
131,What is exception handling?,2
132,What is a variable in Python?,2
132,What is the difference between a List and a Tuple?,2
132,What is a function in Python?,2
132,What is list comprehension?,2
132,What is exception handling?,2
133,What is a variable in Python?,2
133,What is the difference between a List and a Tuple?,2
133,What is a function in Python?,2
133,What is list comprehension?,2
133,What is exception handling?,2
134,What is a variable in Python?,2
134,What is the difference between a List and a Tuple?,2
134,What is a function in Python?,2
134,What is list comprehension?,2
134,What is exception handling?,2
135,What is a variable in Python?,2
135,What is the difference between a List and a Tuple?,2
135,What is a function in Python?,2
135,What is list comprehension?,2
135,What is exception handling?,2
136,What is a variable in Python?,2
136,What is the difference between a List and a Tuple?,2
136,What is a function in Python?,2
136,What is list comprehension?,2
136,What is exception handling?,2
137,What is a variable in Python?,2
137,What is the difference between a List and a Tuple?,2
137,What is a function in Python?,2
137,What is list comprehension?,2
137,What is exception handling?,2
138,What is a variable in Python?,2
138,What is the difference between a List and a Tuple?,2
138,What is a function in Python?,2
138,What is list comprehension?,2
138,What is exception handling?,2
139,What is a variable in Python?,2
139,What is the difference between a List and a Tuple?,2
139,What is a function in Python?,2
139,What is list comprehension?,2
139,What is exception handling?,2
140,What is a variable in Python?,2
140,What is the difference between a List and a Tuple?,2
140,What is a function in Python?,2
140,What is list comprehension?,2
140,What is exception handling?,2
141,What is a variable in Python?,2
141,What is the difference between a List and a Tuple?,2
141,What is a function in Python?,2
141,What is list comprehension?,2
141,What is exception handling?,2
142,What is a variable in Python?,2
142,What is the difference between a List and a Tuple?,2
142,What is a function in Python?,2
142,What is list comprehension?,2
142,What is exception handling?,2
143,What is a variable in Python?,2
143,What is the difference between a List and a Tuple?,2
143,What is a function in Python?,2
143,What is list comprehension?,2
143,What is exception handling?,2
144,What is a variable in Python?,2
144,What is the difference between a List and a Tuple?,2
144,What is a function in Python?,2
144,What is list comprehension?,2
144,What is exception handling?,2
145,What is a variable in Python?,2
145,What is the difference between a List and a Tuple?,2
145,What is a function in Python?,2
145,What is list comprehension?,2
145,What is exception handling?,2
146,What is a variable in Python?,2
146,What is the difference between a List and a Tuple?,2
146,What is a function in Python?,2
146,What is list comprehension?,2
146,What is exception handling?,2
147,What is a variable in Python?,2
147,What is the difference between a List and a Tuple?,2
147,What is a function in Python?,2
147,What is list comprehension?,2
147,What is exception handling?,2
148,What is a variable in Python?,2
148,What is the difference between a List and a Tuple?,2
148,What is a function in Python?,2
148,What is list comprehension?,2
148,What is exception handling?,2
149,What is a variable in Python?,2
149,What is the difference between a List and a Tuple?,2
149,What is a function in Python?,2
149,What is list comprehension?,2
149,What is exception handling?,2
150,What is a variable in Python?,2
150,What is the difference between a List and a Tuple?,2
150,What is a function in Python?,2
150,What is list comprehension?,2
150,What is exception handling?,2
151,What is a variable in Python?,2
151,What is the difference between a List and a Tuple?,2
151,What is a function in Python?,2
151,What is list comprehension?,2
151,What is exception handling?,2
152,What is a variable in Python?,2
152,What is the difference between a List and a Tuple?,2
152,What is a function in Python?,2
152,What is list comprehension?,2
152,What is exception handling?,2
153,What is a variable in Python?,2
153,What is the difference between a List and a Tuple?,2
153,What is a function in Python?,2
153,What is list comprehension?,2
153,What is exception handling?,2
154,What is a variable in Python?,2
154,What is the difference between a List and a Tuple?,2
154,What is a function in Python?,2
154,What is list comprehension?,2
154,What is exception handling?,2
155,What is a variable in Python?,2
155,What is the difference between a List and a Tuple?,2
155,What is a function in Python?,2
155,What is list comprehension?,2
155,What is exception handling?,2
156,What is a variable in Python?,2
156,What is the difference between a List and a Tuple?,2
156,What is a function in Python?,2
156,What is list comprehension?,2
156,What is exception handling?,2
157,What is a variable in Python?,2
157,What is the difference between a List and a Tuple?,2
157,What is a function in Python?,2
157,What is list comprehension?,2
157,What is exception handling?,2
158,What is a variable in Python?,2
158,What is the difference between a List and a Tuple?,2
158,What is a function in Python?,2
158,What is list comprehension?,2
158,What is exception handling?,2
159,What is a variable in Python?,2
159,What is the difference between a List and a Tuple?,2
159,What is a function in Python?,2
159,What is list comprehension?,2
159,What is exception handling?,2
160,What is a variable in Python?,2
160,What is the difference between a List and a Tuple?,2
160,What is a function in Python?,2
160,What is list comprehension?,2
160,What is exception handling?,2
161,What is a variable in Python?,2
161,What is the difference between a List and a Tuple?,2
161,What is a function in Python?,2
161,What is list comprehension?,2
161,What is exception handling?,2
162,What is a variable in Python?,2
162,What is the difference between a List and a Tuple?,2
162,What is a function in Python?,2
162,What is list comprehension?,2
162,What is exception handling?,2
163,What is a variable in Python?,2
163,What is the difference between a List and a Tuple?,2
163,What is a function in Python?,2
163,What is list comprehension?,2
163,What is exception handling?,2
164,What is a variable in Python?,2
164,What is the difference between a List and a Tuple?,2
164,What is a function in Python?,2
164,What is list comprehension?,2
164,What is exception handling?,2
165,What is a variable in Python?,2
165,What is the difference between a List and a Tuple?,2
165,What is a function in Python?,2
165,What is list comprehension?,2
165,What is exception handling?,2
166,What is a variable in Python?,2
166,What is the difference between a List and a Tuple?,2
166,What is a function in Python?,2
166,What is list comprehension?,2
166,What is exception handling?,2
167,What is a variable in Python?,2
167,What is the difference between a List and a Tuple?,2
167,What is a function in Python?,2
167,What is list comprehension?,2
167,What is exception handling?,2
168,What is a variable in Python?,2
168,What is the difference between a List and a Tuple?,2
168,What is a function in Python?,2
168,What is list comprehension?,2
168,What is exception handling?,2
169,What is a variable in Python?,2
169,What is the difference between a List and a Tuple?,2
169,What is a function in Python?,2
169,What is list comprehension?,2
169,What is exception handling?,2
170,What is a variable in Python?,2
170,What is the difference between a List and a Tuple?,2
170,What is a function in Python?,2
170,What is list comprehension?,2
170,What is exception handling?,2
171,What is a variable in Python?,2
171,What is the difference between a List and a Tuple?,2
171,What is a function in Python?,2
171,What is list comprehension?,2
171,What is exception handling?,2
172,What is a variable in Python?,2
172,What is the difference between a List and a Tuple?,2
172,What is a function in Python?,2
172,What is list comprehension?,2
172,What is exception handling?,2
173,What is a variable in Python?,2
173,What is the difference between a List and a Tuple?,2
173,What is a function in Python?,2
173,What is list comprehension?,2
173,What is exception handling?,2
174,What is a variable in Python?,2
174,What is the difference between a List and a Tuple?,2
174,What is a function in Python?,2
174,What is list comprehension?,2
174,What is exception handling?,2
175,What is a variable in Python?,2
175,What is the difference between a List and a Tuple?,2
175,What is a function in Python?,2
175,What is list comprehension?,2
175,What is exception handling?,2
176,What is a variable in Python?,2
176,What is the difference between a List and a Tuple?,2
176,What is a function in Python?,2
176,What is list comprehension?,2
176,What is exception handling?,2
177,What is a variable in Python?,2
177,What is the difference between a List and a Tuple?,2
177,What is a function in Python?,2
177,What is list comprehension?,2
177,What is exception handling?,2
178,What is a variable in Python?,2
178,What is the difference between a List and a Tuple?,2
178,What is a function in Python?,2
178,What is list comprehension?,2
178,What is exception handling?,2
179,What is a variable in Python?,2
179,What is the difference between a List and a Tuple?,2
179,What is a function in Python?,2
179,What is list comprehension?,2
179,What is exception handling?,2
180,What is a variable in Python?,2
180,What is the difference between a List and a Tuple?,2
180,What is a function in Python?,2
180,What is list comprehension?,2
180,What is exception handling?,2
181,What is a variable in Python?,2
181,What is the difference between a List and a Tuple?,2
181,What is a function in Python?,2
181,What is list comprehension?,2
181,What is exception handling?,2
182,What is a variable in Python?,2
182,What is the difference between a List and a Tuple?,2
182,What is a function in Python?,2
182,What is list comprehension?,2
182,What is exception handling?,2
183,What is a variable in Python?,2
183,What is the difference between a List and a Tuple?,2
183,What is a function in Python?,2
183,What is list comprehension?,2
183,What is exception handling?,2
184,What is a variable in Python?,2
184,What is the difference between a List and a Tuple?,2
184,What is a function in Python?,2
184,What is list comprehension?,2
184,What is exception handling?,2
185,What is a variable in Python?,2
185,What is the difference between a List and a Tuple?,2
185,What is a function in Python?,2
185,What is list comprehension?,2
185,What is exception handling?,2
186,What is a variable in Python?,2
186,What is the difference between a List and a Tuple?,2
186,What is a function in Python?,2
186,What is list comprehension?,2
186,What is exception handling?,2
187,What is a variable in Python?,2
187,What is the difference between a List and a Tuple?,2
187,What is a function in Python?,2
187,What is list comprehension?,2
187,What is exception handling?,2
188,What is a variable in Python?,2
188,What is the difference between a List and a Tuple?,2
188,What is a function in Python?,2
188,What is list comprehension?,2
188,What is exception handling?,2
189,What is a variable in Python?,2
189,What is the difference between a List and a Tuple?,2
189,What is a function in Python?,2
189,What is list comprehension?,2
189,What is exception handling?,2
190,What is a variable in Python?,2
190,What is the difference between a List and a Tuple?,2
190,What is a function in Python?,2
190,What is list comprehension?,2
190,What is exception handling?,2
191,What is a variable in Python?,2
191,What is the difference between a List and a Tuple?,2
191,What is a function in Python?,2
191,What is list comprehension?,2
191,What is exception handling?,2
192,What is a variable in Python?,2
192,What is the difference between a List and a Tuple?,2
192,What is a function in Python?,2
192,What is list comprehension?,2
192,What is exception handling?,2
193,What is a variable in Python?,2
193,What is the difference between a List and a Tuple?,2
193,What is a function in Python?,2
193,What is list comprehension?,2
193,What is exception handling?,2
194,What is a variable in Python?,2
194,What is the difference between a List and a Tuple?,2
194,What is a function in Python?,2
194,What is list comprehension?,2
194,What is exception handling?,2
